rank,value_score,model,year,km,price,motivation_score,price_drop_pct,num_price_cuts,bump_count,days_on_market,is_clean,is_bayi,damage_changed_count,damage_painted_count,damage_local_painted_count,feature_count,battery,seller_type,heavy_damage_record,km_per_year,price_score,km_score,damage_score,feature_score,depr_score,trim_mult,clean_bonus,bayi_bonus,new_changed_penalty,price_history,dq_reason,sahibinden_id,title,url
1,100.0,GTS,2023,27000,10900000,26.3,3.1,1,1,138,Yes,Yes,0.0,0.0,0.0,50.0,PB Plus (93.4 kWh),Sahibinden,Hayır,9000,1.93,0.7,1.0,0.877,0.6,1.1,5.0,3.0,0.0,"9,650,000 (07 Feb 26) -> 11,250,000 (09 Jun 26) -> 10,900,000 (21 Jun 26)",,1285513217,2023 GTS-ARKA AKS-MASAJ-ISITMA SOĞUTMA-SKY TAVAN - 12.000 km,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-2023-gts-arka-aks-masaj-isitma-sogutma-sky-tavan-12.000-km-1285513217/detay
2,82.2,4S,2024,49000,10700000,5.9,0.9,1,0,4,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (105 kWh),Galeriden,Hayır,24500,1.76,0.183,1.0,0.0,1.0,1.0,5.0,3.0,0.0,"10,800,000 (21 Jun 26) -> 10,700,000 (25 Jun 26)",,1323707035,OTO ANKA GROUP HATASIZ 2024 PORSCHE TAYCAN 4S PERFOMANCE PLUS,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-oto-anka-group-hatasiz-2024-porsche-taycan-4s-perfomance-plus-1323707035/detay
3,80.9,4S,2024,41000,10900000,3.6,0.0,0,1,14,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (105 kWh),Galeriden,Hayır,20500,1.58,0.317,1.0,0.0,1.0,1.0,5.0,3.0,0.0,"10,900,000 (11 Jun 26)",,1283608558,-VEGAS MOTORS- 2024 PORSCHE TAYCAN 4S P.PLUS YOLCU EKRANI 598HP,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-vegas-motors-2024-porsche-taycan-4s-p.plus-yolcu-ekrani-598hp-1283608558/detay
4,79.5,4S,2024,23800,11250000,2.4,0.0,0,1,4,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (105 kWh),Sahibinden,Hayır,11900,1.264,0.603,1.0,0.0,1.0,1.0,5.0,3.0,0.0,"11,250,000 (21 Jun 26)",,1323411403,PORSCHE TAYCAN 4S PERFORMANCE PLUS,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-porsche-taycan-4s-performance-plus-1323411403/detay
5,79.4,Turbo,2024,18504,14450000,65.3,13.7,3,8,138,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (105 kWh),Galeriden,Hayır,9252,0.952,0.692,1.0,0.0,1.0,1.05,5.0,3.0,0.0,"16,750,000 (07 Feb 26) -> 15,750,000 (26 Mar 26) -> 14,950,000 (15 Apr 26) -> 14,450,000 (01 Jun 26)",,1285704385,SS MOTORS 2024 TAYCAN TURBO-PERFORMA­NCE+-SPORTDES­IGN-884HP-BAYİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-ss-motors-2024-taycan-turbo-performance-plus-sportdesign-884hp-bayi-1285704385/detay
6,78.0,4S,2024,28000,11350000,0.0,0.0,0,0,0,Yes,No,0.0,0.0,0.0,31.0,PB Plus (105 kWh),Galeriden,Hayır,14000,1.174,0.533,1.0,0.544,1.0,1.0,5.0,0.0,0.0,"11,350,000 (25 Jun 26)",,1324603920,2024 MODEL 4S PERFORMANCE PLUS / 598 HP / HATASIZ BOYASIZ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-2024-model-4s-performance-plus-598-hp-hatasiz-boyasiz-1324603920/detay
7,76.5,Turbo S,2020,88500,7500000,0.9,0.0,0,0,8,Yes,Yes,0.0,0.0,0.0,47.0,PB Plus (93.4 kWh),Galeriden,Hayır,14750,1.376,0.508,1.0,0.825,0.1,1.08,5.0,3.0,0.0,"7,500,000 (17 Jun 26)",,1322251534,GALERAS PORSCHE TAYCAN TURBO SERAMİK FREN AERO KIT SPORT DESIGN,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-galeras-porsche-taycan-turbo-seramik-fren-aero-kit-sport-design-1322251534/detay
8,76.5,4S,2025,6333,13975000,37.5,9.8,4,2,16,Yes,Yes,0.0,0.0,0.0,32.0,PB Plus (105 kWh),Galeriden,Hayır,6333,0.707,0.789,1.0,0.561,1.0,1.0,5.0,3.0,0.0,"15,500,000 (09 Jun 26) -> 14,950,000 (11 Jun 26) -> 14,750,000 (17 Jun 26) -> 14,500,000 (21 Jun 26) -> 13,975,000 (25 Jun 26)",,1319910367,BAYİ YENİ PORSCHE TAYCAN 4S PERFORMANCE PLUS 544PS_EXTRA FULL,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-bayi-yeni-porsche-taycan-4s-performance-plus-544ps_extra-full-1319910367/detay
9,76.4,4S,2020,183000,5399000,22.0,5.3,3,0,14,Yes,Yes,0.0,0.0,0.0,42.0,PB Plus (93.4 kWh),Galeriden,Hayır,30500,2.161,0.0,1.0,0.737,0.1,1.0,5.0,3.0,0.0,"5,700,000 (11 Jun 26) -> 5,650,000 (17 Jun 26) -> 5,449,000 (21 Jun 26) -> 5,399,000 (25 Jun 26)",,1321738767,BAYİ ÇIKIŞLI PORSCHE TAYCAN 4S PERFORMANS PLUS UZATILMIŞ GARANTİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-bayi-cikisli-porsche-taycan-4s-performans-plus-uzatilmis-garanti-1321738767/detay
10,74.3,Taycan,2025,6001,11500000,0.0,0.0,0,0,0,Yes,No,0.0,0.0,0.0,0.0,PB (89 kWh),Yetkili Bayiden,Hayır,6001,1.201,0.8,1.0,0.0,1.0,0.95,5.0,0.0,0.0,"11,500,000 (25 Jun 26)",,1323924099,VOSMER 2025 PORSCHE TAYCAN 4 320 kW,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-vosmer-2025-porsche-taycan-4-320-kw-1323924099/detay
